46.56.237.173, BY, 2020-01-23 19:53:27, 1, country, Windows, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML  like Gecko) Chrome/79.0.3945.130 Safari/537.36,  
173.252.127.8, US, 2020-01-24 12:56:06, 1, ua;os;country, unknown, facebookexternalhit/1.1 (+http://www.facebook.com/externalhit_uatext.php),  
31.13.127.6, IE, 2020-01-24 12:56:07, 1, ua;os;country, unknown, facebookexternalhit/1.1 (+http://www.facebook.com/externalhit_uatext.php),  
159.65.175.107, US, 2020-01-24 13:19:46, 1, country, Windows, Mozilla/5.0 (Windows NT 6.1; WOW64; rv:40.0) Gecko/20100101 Firefox/40.1,  
114.122.6.48, ID, 2020-01-24 13:56:49, 1, country, Android, Mozilla/5.0 (Linux; Android 8.1.0; SM-J730G Build/M1AJQ; wv) AppleWebKit/537.36 (KHTML  like Gecko) Version/4.0 Chrome/74.0.3729.157 Mobile Safari/537.36 [FB_IAB/FB4A;FBAV/230.0.0.36.117;],  
180.249.202.96, ID, 2020-01-24 13:58:42, 1, country, Android, Mozilla/5.0 (Linux; Android 8.1.0; vivo 1808 Build/O11019; wv) AppleWebKit/537.36 (KHTML  like Gecko) Version/4.0 Chrome/79.0.3945.116 Mobile Safari/537.36 [FB_IAB/FB4A;FBAV/244.0.0.43.118;],  
114.125.169.162, ID, 2020-01-24 13:59:18, 1, country, Android, Mozilla/5.0 (Linux; Android 8.1.0; vivo 1820 Build/O11019; wv) AppleWebKit/537.36 (KHTML  like Gecko) Version/4.0 Chrome/79.0.3945.116 Mobile Safari/537.36 [FB_IAB/FB4A;FBAV/244.0.0.43.118;],  
36.85.106.197, ID, 2020-01-24 14:00:28, 1, country, Android, Mozilla/5.0 (Linux; Android 7.1.1; ASUS_X00LD Build/NMF26F; wv) AppleWebKit/537.36 (KHTML  like Gecko) Version/4.0 Chrome/76.0.3809.89 Mobile Safari/537.36 [FB_IAB/FB4A;FBAV/253.0.0.28.116;],  
202.80.219.191, ID, 2020-01-24 14:03:10, 1, country, Android, Mozilla/5.0 (Linux; Android 9; vivo 1727 Build/PKQ1.190118.001; wv) AppleWebKit/537.36 (KHTML  like Gecko) Version/4.0 Chrome/79.0.3945.116 Mobile Safari/537.36 [FB_IAB/FB4A;FBAV/254.0.0.37.125;],  
175.138.96.39, MY, 2020-01-24 14:06:15, 1, country, iOS, Mozilla/5.0 (iPhone; CPU iPhone OS 13_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML  like Gecko) Mobile/15E148 [FBAN/FBIOS;FBDV/iPhone10 3;FBMD/iPhone;FBSN/iOS;FBSV/13.3;FBSS/3;FBID/phone;FBLC/id_ID;FBOP/5;FBCR/Carrier],  
112.215.153.89, ID, 2020-01-24 14:09:37, 1, country, iOS, Mozilla/5.0 (iPhone; CPU iPhone OS 12_4 like Mac OS X) AppleWebKit/605.1.15 (KHTML  like Gecko) Mobile/15E148 [FBAN/FBIOS;FBDV/iPhone8 2;FBMD/iPhone;FBSN/iOS;FBSV/12.4;FBSS/3;FBID/phone;FBLC/en_US;FBOP/5;FBCR/Carrier],  
114.79.6.4, ID, 2020-01-24 14:11:45, 1, country, Android, Mozilla/5.0 (Linux; Android 9; SM-A105G Build/PPR1.180610.011; wv) AppleWebKit/537.36 (KHTML  like Gecko) Version/4.0 Chrome/79.0.3945.93 Mobile Safari/537.36 [FB_IAB/FB4A;FBAV/251.0.0.31.111;],  
114.125.26.39, ID, 2020-01-24 14:12:40, 1, country, Android, Mozilla/5.0 (Linux; Android 6.0; CRO-L22 Build/HUAWEICRO-L22; wv) AppleWebKit/537.36 (KHTML  like Gecko) Version/4.0 Chrome/65.0.3325.109 Mobile Safari/537.36 [FB_IAB/FB4A;FBAV/227.0.0.43.158;],  
114.125.81.65, ID, 2020-01-24 14:12:56, 1, country, Android, Mozilla/5.0 (Linux; Android 7.1.1; SM-C710F Build/NMF26X; wv) AppleWebKit/537.36 (KHTML  like Gecko) Version/4.0 Chrome/64.0.3282.137 Mobile Safari/537.36 [FB_IAB/FB4A;FBAV/240.0.0.38.121;],  
36.79.248.90, ID, 2020-01-24 14:15:33, 1, country, Android, Mozilla/5.0 (Linux; Android 9; CPH1933 Build/PKQ1.190714.001; wv) AppleWebKit/537.36 (KHTML  like Gecko) Version/4.0 Chrome/79.0.3945.116 Mobile Safari/537.36 [FB_IAB/FB4A;FBAV/253.0.0.28.116;],  
182.1.97.239, ID, 2020-01-24 14:30:22, 1, country, Android, Mozilla/5.0 (Linux; Android 8.1.0; CPH1909 Build/O11019; wv) AppleWebKit/537.36 (KHTML  like Gecko) Version/4.0 Chrome/69.0.3497.100 Mobile Safari/537.36 [FB_IAB/FB4A;FBAV/251.0.0.31.111;],  
114.79.38.6, ID, 2020-01-24 14:32:49, 1, country, Android, Mozilla/5.0 (Linux; Android 8.1.0; CPH1909 Build/O11019; wv) AppleWebKit/537.36 (KHTML  like Gecko) Version/4.0 Chrome/69.0.3497.100 Mobile Safari/537.36 [FB_IAB/FB4A;FBAV/253.0.0.28.116;],  
182.1.114.61, ID, 2020-01-24 14:37:21, 1, country, Android, Mozilla/5.0 (Linux; Android 9; vivo 1904 Build/PPR1.180610.011; wv) AppleWebKit/537.36 (KHTML  like Gecko) Version/4.0 Chrome/74.0.3729.136 Mobile Safari/537.36 [FB_IAB/FB4A;FBAV/253.0.0.28.116;],  
180.241.219.46, ID, 2020-01-24 14:38:44, 1, country, Android, Mozilla/5.0 (Linux; Android 9; CPH1969 Build/PPR1.180610.011; wv) AppleWebKit/537.36 (KHTML  like Gecko) Version/4.0 Chrome/79.0.3945.116 Mobile Safari/537.36 [FB_IAB/FB4A;FBAV/253.0.0.28.116;],  
114.125.81.77, ID, 2020-01-24 14:39:32, 1, country, Android, Mozilla/5.0 (Linux; Android 9; vivo 1819 Build/P00610; wv) AppleWebKit/537.36 (KHTML  like Gecko) Version/4.0 Chrome/79.0.3945.116 Mobile Safari/537.36 [FB_IAB/FB4A;FBAV/253.0.0.28.116;],  
114.125.221.101, ID, 2020-01-24 14:40:29, 1, country, Android, Mozilla/5.0 (Linux; Android 8.1.0; CPH1901 Build/OPM1.171019.026; wv) AppleWebKit/537.36 (KHTML  like Gecko) Version/4.0 Chrome/71.0.3578.99 Mobile Safari/537.36 [FB_IAB/FB4A;FBAV/253.0.0.28.116;],  
114.125.204.85, ID, 2020-01-24 14:40:42, 1, country, Android, Mozilla/5.0 (Linux; Android 8.1.0; CPH1901 Build/OPM1.171019.026; wv) AppleWebKit/537.36 (KHTML  like Gecko) Version/4.0 Chrome/71.0.3578.99 Mobile Safari/537.36 [FB_IAB/FB4A;FBAV/253.0.0.28.116;],  
114.125.10.181, ID, 2020-01-24 14:41:27, 1, country, Android, Mozilla/5.0 (Linux; Android 7.0; vivo 1612 Build/NRD90M; wv) AppleWebKit/537.36 (KHTML  like Gecko) Version/4.0 Chrome/68.0.3440.91 Mobile Safari/537.36 [FB_IAB/FB4A;FBAV/252.0.0.22.355;],  
173.252.95.34, US, 2020-01-24 14:41:48, 1, ua;os;country, unknown, facebookexternalhit/1.1 (+http://www.facebook.com/externalhit_uatext.php),  
114.125.31.233, ID, 2020-01-24 14:42:19, 1, country, Android, Mozilla/5.0 (Linux; Android 9; CPH1931 Build/PKQ1.190714.001; wv) AppleWebKit/537.36 (KHTML  like Gecko) Version/4.0 Chrome/79.0.3945.136 Mobile Safari/537.36 [FB_IAB/FB4A;FBAV/253.0.0.28.116;],  
182.1.63.51, ID, 2020-01-24 14:45:44, 1, country, Android, Mozilla/5.0 (Linux; Android 8.0.0; BLA-L29 Build/HUAWEIBLA-L29S; wv) AppleWebKit/537.36 (KHTML  like Gecko) Version/4.0 Chrome/74.0.3729.157 Mobile Safari/537.36 [FB_IAB/FB4A;FBAV/250.0.0.26.241;],  
180.246.110.50, ID, 2020-01-24 14:47:13, 1, country, Windows, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML  like Gecko) Chrome/79.0.3945.130 Safari/537.36, fbclid=IwAR3V8l-UVNZtVk79_r1e68bdCr0hfKZXfL9l2mwthCZpTP1lIl3L0BYrTBk 
115.178.252.211, ID, 2020-01-24 14:47:37, 1, country, Android, Mozilla/5.0 (Linux; Android 8.1.0; CPH1803 Build/OPM1.171019.026; wv) AppleWebKit/537.36 (KHTML  like Gecko) Version/4.0 Chrome/75.0.3770.101 Mobile Safari/537.36 [FB_IAB/FB4A;FBAV/227.0.0.43.158;],  
140.213.142.25, ID, 2020-01-24 14:48:00, 1, country, Android, Mozilla/5.0 (Linux; Android 9; RMX1941 Build/PPR1.180610.011; wv) AppleWebKit/537.36 (KHTML  like Gecko) Version/4.0 Chrome/71.0.3578.99 Mobile Safari/537.36 [FB_IAB/FB4A;FBAV/201.0.0.58.99;],  
114.125.31.71, ID, 2020-01-24 14:50:03, 1, country, Android, Mozilla/5.0 (Linux; Android 7.1.1; MI MAX 2 Build/NMF26F; wv) AppleWebKit/537.36 (KHTML  like Gecko) Version/4.0 Chrome/79.0.3945.93 Mobile Safari/537.36 [FB_IAB/FB4A;FBAV/250.0.0.26.241;],  
114.5.243.43, ID, 2020-01-24 14:54:44, 1, country, Android, Mozilla/5.0 (Linux; Android 8.1.0; vivo 1807 Build/OPM1.171019.026; wv) AppleWebKit/537.36 (KHTML  like Gecko) Version/4.0 Chrome/79.0.3945.116 Mobile Safari/537.36 [FB_IAB/FB4A;FBAV/253.0.0.28.116;],  
120.188.83.242, ID, 2020-01-24 14:54:53, 1, country, Android, Mozilla/5.0 (Linux; Android 9; RMX1941 Build/PPR1.180610.011; wv) AppleWebKit/537.36 (KHTML  like Gecko) Version/4.0 Chrome/71.0.3578.99 Mobile Safari/537.36 [FB_IAB/FB4A;FBAV/251.0.0.31.111;],  
112.215.174.241, ID, 2020-01-24 14:56:07, 1, country, Android, Mozilla/5.0 (Linux; Android 9; Redmi 7 Build/PKQ1.181021.001; wv) AppleWebKit/537.36 (KHTML  like Gecko) Version/4.0 Chrome/72.0.3626.121 Mobile Safari/537.36 [FB_IAB/FB4A;FBAV/231.0.0.39.113;],  
182.1.98.10, ID, 2020-01-24 14:56:34, 1, country, Android, Mozilla/5.0 (Linux; Android 9; CPH1823 Build/PPR1.180610.011; wv) AppleWebKit/537.36 (KHTML  like Gecko) Version/4.0 Chrome/79.0.3945.116 Mobile Safari/537.36 [FB_IAB/FB4A;FBAV/253.0.0.28.116;],  
114.79.44.22, ID, 2020-01-24 14:58:02, 1, country, Android, Mozilla/5.0 (Linux; Android 9; vivo 1904 Build/PPR1.180610.011; wv) AppleWebKit/537.36 (KHTML  like Gecko) Version/4.0 Chrome/79.0.3945.116 Mobile Safari/537.36 [FB_IAB/FB4A;FBAV/253.0.0.28.116;],  
114.125.30.1, ID, 2020-01-24 14:58:42, 1, country, Android, Mozilla/5.0 (Linux; Android 6.0.1; SM-G532G Build/MMB29T; wv) AppleWebKit/537.36 (KHTML  like Gecko) Version/4.0 Chrome/55.0.2883.91 Mobile Safari/537.36 [FB_IAB/FB4A;FBAV/250.0.0.26.241;],  
180.242.223.218, ID, 2020-01-24 15:02:34, 1, country, Android, Mozilla/5.0 (Linux; Android 8.1.0; vivo 1820 Build/O11019; wv) AppleWebKit/537.36 (KHTML  like Gecko) Version/4.0 Chrome/79.0.3945.136 Mobile Safari/537.36 [FB_IAB/FB4A;FBAV/253.0.0.28.116;],  
114.4.221.16, ID, 2020-01-24 15:05:49, 1, country, Android, Mozilla/5.0 (Linux; Android 9; SM-A107F Build/PPR1.180610.011; wv) AppleWebKit/537.36 (KHTML  like Gecko) Version/4.0 Chrome/74.0.3729.136 Mobile Safari/537.36 [FB_IAB/FB4A;FBAV/250.0.0.26.241;],  
114.4.221.16, ID, 2020-01-24 15:05:49, 1, country, Android, Mozilla/5.0 (Linux; Android 9; SM-A107F Build/PPR1.180610.011; wv) AppleWebKit/537.36 (KHTML  like Gecko) Version/4.0 Chrome/74.0.3729.136 Mobile Safari/537.36 [FB_IAB/FB4A;FBAV/250.0.0.26.241;],  
36.82.96.88, ID, 2020-01-24 15:08:19, 1, country, Android, Mozilla/5.0 (Linux; Android 6.0.1; CPH1611 Build/MMB29M; wv) AppleWebKit/537.36 (KHTML  like Gecko) Version/4.0 Chrome/79.0.3945.116 Mobile Safari/537.36 [FB_IAB/FB4A;FBAV/253.0.0.28.116;],  
36.72.146.253, ID, 2020-01-24 15:10:02, 1, country, Android, Mozilla/5.0 (Linux; Android 6.0.1; SM-G532G Build/MMB29T; wv) AppleWebKit/537.36 (KHTML  like Gecko) Version/4.0 Chrome/55.0.2883.91 Mobile Safari/537.36 [FB_IAB/FB4A;FBAV/253.0.0.28.116;],  
69.171.251.12, US, 2020-01-24 15:10:36, 1, country, Windows, Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:72.0) Gecko/20100101 Firefox/72.0, fbclid=IwAR2kfVbFeC9JC-dLDmX2yxzH79_QuHwagS6kwgZt0eJ9Ygraen3N_3J0IvU 
69.171.251.19, US, 2020-01-24 15:11:09, 1, country, Android, Mozilla/5.0 (Linux; Android 6.0.1; Nexus 6P Build/MMB29P) AppleWebKit/537.36 (KHTML  like Gecko) Chrome/47.0.2526.83 Mobile Safari/537.36,  
125.162.115.191, ID, 2020-01-24 15:12:28, 1, country, Android, Mozilla/5.0 (Linux; Android 8.1.0; vivo 1817 Build/OPM1.171019.026; wv) AppleWebKit/537.36 (KHTML  like Gecko) Version/4.0 Chrome/79.0.3945.116 Mobile Safari/537.36 [FB_IAB/FB4A;FBAV/253.0.0.28.116;],  
